ID	C_1	C_2	C_3	C_4	C_5	C_6	C_7	C_8	C_9	C_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_18	C_19	HCC_1	HCC_2	HCC_3	HCC_4	HCC_5	HCC_6	HCC_7	HCC_8	HCC_9	HCC_10	HCC_11	HCC_12	HCC_13	HCC_14	HCC_15	HCC_16	HCC_17	HCC_18	HCC_19
P28066	417121.9309	237412.8145	281371.3278	356184.3664	437347.8867	397983.5551	274259.4281	358114.5557	334603.4481	210061.3736	182628.0902	190961.2798	234851.1059	230247.8044	294908.7606	285072.5219	197877.8712	210526.5221	263712.2462	263121.9134	200166.0159	167084.2095	244853.6146	294523.2588	210450.6349	262758.2743	335777.0796	237777.9576	266720.8788	286831.3086	207785.1496	166194.716	275216.1632	260782.001	406506.5688	218974.6899	149100.0219	485710.2214
Q9Y277	206582.0259	186184.1179	197146.0622	174155.8129	173423.8575	164589.0776	162398.9872	162100.1557	143670.0019	125511.0028	151166.6599	130250.9727	201665.817	167413.6888	173940.0084	103718.3012	152400.8378	144947.6082	167888.8671	444835.1185	151807.4516	116266.4095	186797.4903	90205.80901	305360.2367	403048.4057	165029.2789	125822.6721	279202.2968	198749.7338	181850.1203	117611.9374	108391.9657	121971.3349	658449.274	197233.3593	88493.57904	373563.9664
Q9H993	25862.70761	24174.12192	19188.40604	25661.66532	27547.92639	34028.06084	17249.44645	28509.55548	38194.19065	23496.47947	24004.06958	26632.063	25540.5053	23686.07428	29468.23612	30940.64248	32350.95927	30547.17368	23444.84072	22950.91225	43364.32188	20991.85208	86137.7934	26885.23434	36210.27055	65701.68995	18694.05549	22911.94687	34621.33745	27836.37063	18544.40936	51958.52223	33013.1903	14570.73974	30288.37657	19739.46454	29294.04697	48559.34628
Q9Y4F1	9581.266118	12471.2854	18190.01193	25361.16655	8741.525881	16773.92651	10931.01338	12816.37787	10266.26547	11527.15742	12319.01992	7246.715643	11500.2005	12635.0408	11835.51965	9199.110117	9845.702817	10397.7598	10479.54472	27695.11981	16376.67806	43031.73858	17562.25439	7660.778996	17888.46452	10812.0834	12544.39601	12610.07109	22506.7029	9509.339914	1851.118097	17387.61321	10474.23209	15965.15888	10159.12511	19841.88917	13803.73969	11586.39175
O95210	204259.0086	134139.6615	329602.0591	158346.2898	106861.5261	91325.66835	215225.5737	109673.7546	74366.50728	93327.36186	236219.7547	91868.55589	120529.5872	228367.2298	178864.1122	58936.207	147806.9735	77448.08186	100179.2077	26228.95641	258888.8337	63804.54361	183730.972	247905.1538	33824.31556	157505.6438	103567.5558	297651.6841	71189.15539	70637.76336	72779.18699	111434.6091	129118.0439	156491.6909	186689.7843	78133.98933	157612.2195	20743.14117
Q15006	518.8789526	459.9789963	799.3801747	843.7338578	565.2144702	769.7358825	539.4437541	935.5142811	0	422.4361646	371.0235901	241.9171037	151.1590175	218.658129	691.1147695	228.8525026	283.083441	737.1286225	368.0271645	2255.291208	317.7912577	63.3055028	1240.656998	424.3173019	2023.921057	1188.021486	2075.800617	1269.102564	0	1042.843865	324.1067631	625.6912925	1012.595732	1355.661991	2634.954252	689.2342117	1443.399059	3082.799165
P58546	89269.75495	63277.60692	74843.27122	88580.65196	99690.12195	90517.63861	66820.24799	109985.905	77739.50343	83612.69099	63161.53755	62351.79524	85624.11793	70044.52335	56597.84531	77196.66651	54124.59058	70022.16952	97334.22574	132640.6332	54936.20319	77430.47574	93113.61057	93101.60968	84683.2976	73932.07245	63877.09783	86467.24182	92551.21835	73141.12101	53769.54225	87228.86075	67739.19388	89924.00849	59446.33206	84380.22202	76296.94966	222312.7624
P50224	42712.27236	21018.02828	11828.35314	13884.82113	70456.23812	67203.28752	25941.01667	40629.08297	114394.0382	89627.7317	33100.95465	69490.51106	63862.49579	48231.20166	37727.77525	51660.14725	13928.86593	57606.42575	67060.54134	11449.22916	62808.64938	9579.857614	39439.63924	81992.90301	12538.11727	216839.5787	63145.02039	35554.73913	8369.527508	6931.210377	14006.17653	63767.71224	145018.9594	23527.78096	123100.4019	14104.90882	28239.75914	8243.827994
P42025	108011.8763	62816.3304	49703.84942	77025.82232	61265.26666	91284.90893	56705.52841	103756.8392	94434.50653	52471.09075	40636.58327	41965.47911	43272.85269	53767.04466	66153.17686	54949.54669	39225.39546	45871.98045	57247.18561	79267.45787	52486.89292	38842.38489	67195.47539	33731.50869	61936.0965	70636.79239	32084.04105	41730.98933	83020.38025	22777.66215	37634.79259	47074.96632	45894.29734	49010.23646	39875.36054	107678.1855	40425.21678	150333.0889
P49638	160695.6647	100352.6979	81207.18559	55091.87989	128602.3525	162233.3257	159245.2895	184085.5423	161222.6372	179296.1554	120217.8841	110267.9775	169037.8374	98635.30013	105140.4411	93370.62275	91640.37046	171096.7762	162486.5984	16143.00728	834813.4832	44250.21669	127801.4546	145968.7162	31311.48476	322354.048	62771.68046	272895.8893	13033.05834	54517.52194	247799.6457	585765.9728	146497.4511	84053.7117	158273.1686	34776.0627	51066.70401	11619.30715
P46940	405389.0111	300361.8714	203905.3225	298132.3873	200608.8846	290736.3809	297764.2211	381328.8095	274364.0395	244652.5886	243533.4141	170235.4274	399899.8741	412777.4859	240483.147	166346.199	159093.5086	196287.1051	237096.5408	603563.4265	163363.0294	311108.1782	182838.7805	177121.2762	355864.9539	423294.0228	351850.6529	431041.3846	360915.2644	135642.55	178854.8113	257655.1012	238220.9109	407093.8911	283049.7462	596167.1546	156114.7164	998143.8032
Q9H7Z7	120671.9345	37092.69521	38869.24595	55720.10184	55758.46815	102824.964	22994.98349	51250.2478	104748.6512	41941.48949	36823.55974	45698.00598	39933.23606	38376.11976	39933.56996	58969.48055	29294.25415	43694.50465	34632.31132	37927.78653	39563.05182	79527.01578	20794.27402	57368.10071	55681.33562	253854.1349	35216.41129	70118.90538	55451.61151	52991.19375	153928.521	55705.39982	40391.63391	52178.85325	188855.126	25935.41031	49683.29012	76117.41039
P10643	7.60793188	910.5733045	1760.68271	4741.86678	217.2644155	148.7719736	109.5594058	665.5268272	359.659698	1216.7984	205.2779676	0	645.9088576	3102.917985	2917.772194	0	1962.296223	0	445.8231878	1586.82416	429.7762983	1922.513403	742.457723	331.0515013	2400.564439	325.1636165	1739.360685	117.0850521	3486.263536	0	0	1767.089879	38.16413876	2518.618255	301.8532936	24431.01106	1160.666466	1958.594194
O95470	822.8123305	8870.873932	5160.516225	3853.835316	1082.513464	3554.009097	7222.115136	1560.635358	3688.53258	5715.902049	5021.032795	2783.926867	5053.760624	9882.478748	7190.062451	1871.554736	5350.029714	4849.507194	3133.172555	3465.916799	20943.08981	12443.69104	11120.1594	5121.900109	5709.804962	5038.906348	6298.084668	13441.17579	19842.33958	662.939349	236.0505919	4611.914885	4544.662266	17271.09853	2782.701577	3317.347366	2278.764766	13239.56603
Q08380	43602.09263	49870.72436	45961.35468	122863.0879	19663.20881	25909.26492	84414.33471	45079.55914	24667.55016	31953.80278	28833.33788	29233.49721	69525.99798	34579.91407	36902.88848	37543.43969	34850.90818	19877.63877	41052.54616	88605.37795	8201.145738	98981.37759	40632.20944	24823.78136	14661.42988	46711.4773	5071.793649	19571.78177	70227.978	29715.95696	4757.284052	167776.8709	22807.16191	27198.24398	26415.86214	57187.79969	7225.048796	173941.0829
P08240	30209.25298	33826.94288	34817.78786	19942.82579	20524.85857	21389.3532	26733.11963	27660.73864	14531.36151	17947.85996	29678.34679	14673.50627	28833.51588	28269.37506	24180.36951	11780.48287	19021.00386	23495.04023	20974.84689	32539.61703	36964.52929	41301.80706	41419.49703	12721.90495	19933.80391	36134.21999	24254.3863	23847.8469	25470.27505	35073.76418	16144.5332	28146.04877	12889.31374	35883.26095	21723.71859	17327.83357	22390.19276	19862.94324
P05543	15506.72761	14393.58683	5590.721085	10938.77309	5618.654232	11496.72829	10276.67153	12996.44141	18885.06631	11877.43722	9257.179085	7414.564043	8584.117176	15894.17094	10904.96825	10624.57326	17636.851	5848.409299	5728.525236	15349.02922	12819.74576	11199.32813	7716.745077	4194.539053	5260.743808	14631.90007	12480.19603	12033.94781	12703.90625	8744.857497	16501.15377	12371.44454	14541.33445	24333.64488	14563.12666	13400.53588	11390.61634	11986.25268
